word,tag
Aruba,B_from
Afghanistan,B_from
Angola,B_from
Anguilla,B_from
Albania,B_from
Andorra,B_from
United,B_from
Arab,I_from
Emirates,I_from
Argentina,B_from
Armenia,B_from
American,B_from
Samoa,I_from
Antarctica,B_from
French,B_from
Southern,I_from
Territories,I_from
Antigua,B_from
and,I_from
Barbuda,I_from
Australia,B_from
Austria,B_from
Azerbaijan,B_from
Burundi,B_from
Belgium,B_from
Benin,B_from
Bonaire,B_from
Burkina,B_from
Faso,I_from
Bangladesh,B_from
Bengali,B_from
Bulgaria,B_from
Bahrain,B_from
Bahamas,B_from
Bosnia,B_from
and,I_from
Herzegovina,I_from
Saint,B_from
Barthélemy,I_from
Belarus,B_from
Belize,B_from
Bermuda,B_from
Bolivia,B_from
Brazil,B_from
Brasil,B_from
Portuguese,B_from
Barbados,B_from
Brunei,B_from
Darussalam,I_from
Bhutan,B_from
Bouvet,B_from
Island,I_from
Botswana,B_from
Central,B_from
African,I_from
Republic,I_from
Canada,B_from
English,B_from
Cocos,B_from
(Keeling),I_from
Islands,I_from
Switzerland,B_from
Chile,B_from
China,B_from
Trung,B_from
Quốc,I_from
Chinese,B_from
Côte,B_from
d'Ivoire,I_from
Cameroon,B_from
Congo,B_from
Cook,B_from
Islands,I_from
Colombia,B_from
Comoros,B_from
Cabo,B_from
Verde,I_from
Costa,B_from
Rica,I_from
Cuba,B_from
Christmas,B_from
Island,I_from
Cayman,B_from
Islands,I_from
Cyprus,B_from
Czechia,B_from
Germany,B_from
Đức,B_from
German,B_from
Djibouti,B_from
Dominica,B_from
Denmark,B_from
Dominican,B_from
Republic,I_from
Algeria,B_from
Ecuador,B_from
Egypt,B_from
Eritrea,B_from
Western,B_from
Sahara,I_from
Spain,B_from
Tây,B_from
Ban,I_from
Nha,I_from
Spanish,B_from
Estonia,B_from
Ethiopia,B_from
Finland,B_from
Fiji,B_from
Falkland,B_from
Islands,I_from
(Malvinas),I_from
France,B_from
Pháp,B_from
French,B_from
Faroe,B_from
Islands,I_from
Micronesia,B_from
Gabon,B_from
United,B_from
Kingdom,I_from
Vương,B_from
Quốc,I_from
Anh,I_from
Georgia,B_from
Guernsey,B_from
Ghana,B_from
Gibraltar,B_from
Guinea,B_from
Guadeloupe,B_from
Gambia,B_from
Guinea-Bissau,B_from
Equatorial,B_from
Guinea,I_from
Greece,B_from
Grenada,B_from
Greenland,B_from
Guatemala,B_from
French,B_from
Guiana,I_from
Guam,B_from
Guyana,B_from
Hong,B_from
Kong,I_from
Heard,B_from
Island,I_from
and,I_from
McDonald,I_from
Islands,I_from
Honduras,B_from
Croatia,B_from
Haiti,B_from
Hungary,B_from
Indonesia,B_from
Indonesian,B_from
Isle,B_from
of,I_from
Man,I_from
India,B_from
Ấn,B_from
Độ,I_from
Hindi,B_from
British,B_from
Indian,I_from
Ocean,I_from
Territory,I_from
Ireland,B_from
Iran,B_from
Iraq,B_from
Iceland,B_from
Israel,B_from
Italy,B_from
Ý,B_from
Italian,B_from
Jamaica,B_from
Jersey,B_from
Jordan,B_from
Japan,B_from
Nhật,B_from
Bản,I_from
Japanese,B_from
Kazakhstan,B_from
Kenya,B_from
Kyrgyzstan,B_from
Cambodia,B_from
Kiribati,B_from
Saint,B_from
Kitts,I_from
and,I_from
Nevis,I_from
Korea,B_from
Kuwait,B_from
Lao,B_from
People's,I_from
Democratic,I_from
Republic,I_from
Lebanon,B_from
Liberia,B_from
Libya,B_from
Saint,B_from
Lucia,I_from
Liechtenstein,B_from
Sri,B_from
Lanka,I_from
Lesotho,B_from
Lithuania,B_from
Luxembourg,B_from
Latvia,B_from
Macao,B_from
Saint,B_from
Martin,I_from
(French,I_from
part),I_from
Morocco,B_from
Monaco,B_from
Moldova,B_from
Madagascar,B_from
Maldives,B_from
Mexico,B_from
Marshall,B_from
Islands,I_from
North,B_from
Macedonia,I_from
Mali,B_from
Malta,B_from
Myanmar,B_from
Montenegro,B_from
Mongolia,B_from
Northern,B_from
Mariana,I_from
Islands,I_from
Mozambique,B_from
Mauritania,B_from
Montserrat,B_from
Martinique,B_from
Mauritius,B_from
Malawi,B_from
Malaysia,B_from
Mayotte,B_from
Namibia,B_from
New,B_from
Caledonia,I_from
Niger,B_from
Norfolk,B_from
Island,I_from
Nigeria,B_from
Nicaragua,B_from
Niue,B_from
Netherlands,B_from
Norway,B_from
Nepal,B_from
Nauru,B_from
New,B_from
Zealand,I_from
Oman,B_from
Pakistan,B_from
Urdu,B_from
Panama,B_from
Pitcairn,B_from
Peru,B_from
Philippines,B_from
Filipino,B_from
Palau,B_from
Papua,B_from
New,I_from
Guinea,I_from
Poland,B_from
Puerto,B_from
Rico,I_from
Portugal,B_from
Paraguay,B_from
Palestine,B_from
French,B_from
Polynesia,I_from
Qatar,B_from
Réunion,B_from
Romania,B_from
Russian,B_from
Federation,I_from
Rwanda,B_from
Saudi,B_from
Arabia,I_from
Sudan,B_from
Senegal,B_from
Singapore,B_from
South,B_from
Georgia,I_from
and,I_from
the,I_from
South,I_from
Sandwich,I_from
Islands,I_from
Saint,B_from
Helena,I_from
Svalbard,B_from
and,I_from
Jan,I_from
Mayen,I_from
Solomon,B_from
Islands,I_from
Sierra,B_from
Leone,I_from
El,B_from
Salvador,I_from
San,B_from
Marino,I_from
Somalia,B_from
Saint,B_from
Pierre,I_from
and,I_from
Miquelon,I_from
Serbia,B_from
South,B_from
Sudan,I_from
Sao,B_from
Tome,I_from
and,I_from
Principe,I_from
Suriname,B_from
Slovakia,B_from
Slovenia,B_from
Sweden,B_from
Eswatini,B_from
Sint,B_from
Maarten,I_from
(Dutch,I_from
part),I_from
Seychelles,B_from
Syrian,B_from
Arab,I_from
Republic,I_from
Turks,B_from
and,I_from
Caicos,I_from
Islands,I_from
Chad,B_from
Togo,B_from
Thailand,B_from
Tajikistan,B_from
Tokelau,B_from
Turkmenistan,B_from
Timor-Leste,B_from
Tonga,B_from
Trinidad,B_from
and,I_from
